Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
NEET (UG),CAT_04,National,All India,Admission,National Testing Agency (NTA),Class 12,neet.nta.nic.in,Active,"Single gateway for MBBS, BDS, AYUSH, BVSc (15% All India Quota), and increasingly B.Sc Nursing in select central institutes."
AIIMS B.Sc Nursing Entrance Exam,CAT_04,National,All India,Admission,"AIIMS, New Delhi",Class 12,aiimsexams.ac.in,Active,Separate from NEET; exclusively for admission to B.Sc (Hons) Nursing across all AIIMS campuses.
AIIMS Paramedical Entrance Exam,CAT_04,National,All India,Admission,"AIIMS, New Delhi",Class 12,aiimsexams.ac.in,Active,"Separate CBT for B.Optom, B.Sc Medical Technology, and other paramedical courses at AIIMS."
PGIMER B.Sc Nursing & Paramedical,CAT_04,National,All India,Admission,"PGIMER, Chandigarh",Class 12,pgimer.edu.in,Active,Independent entrance test for PGIMER nursing and paramedical programs.
Indian Army B.Sc Nursing (MNS),CAT_04,National,All India,Admission,Directorate General of Medical Services (Army),Class 12,joinindianarmy.nic.in,Active,"Female-only admission to Armed Forces Medical Colleges. Shortlisting via NEET UG, followed by ToGIGE CBT and interview."
CUET UG (ICAR AIEEA),CAT_04,National,All India,Admission,NTA / ICAR,Class 12,exams.nta.ac.in/CUET-UG/,Active,"Has replaced the ICAR AIEEA UG for All India Quota seats in B.Sc (Hons) Agriculture, Pharmacy, and allied sciences."
AP EAPCET (Agriculture & Pharmacy),CAT_04,State-UT,Andhra Pradesh,Admission,JNTU Anantapur (for APSCHE),Class 12,cets.apsche.ap.gov.in,Active,"For B.Pharm, Pharm.D, B.Sc (Ag), and B.V.Sc & AH under the AP state quota."
TS EAPCET (Agriculture & Medical),CAT_04,State-UT,Telangana,Admission,JNTU Hyderabad (for TSCHE),Class 12,eapcet.tsche.ac.in,Active,"For B.Pharm, Pharm.D, B.Sc (Ag), and B.V.Sc & AH under the Telangana state quota."
MHT CET (PCB Group),CAT_04,State-UT,Maharashtra,Admission,"State CET Cell, Maharashtra",Class 12,cetcell.mahacet.org,Active,Gateway for B.Pharm and Pharm.D programs in Maharashtra.
MH B.Sc. Nursing CET,CAT_04,State-UT,Maharashtra,Admission,"State CET Cell, Maharashtra",Class 12,cetcell.mahacet.org,Active,Mandatory centralized test for B.Sc Nursing admissions across state and private colleges in Maharashtra.
