Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
CUET (UG) - Common University Entrance Test,CAT_05,National,All India,Admission,National Testing Agency (NTA),Class 12,exams.nta.ac.in/CUET-UG/,Active,"Absorbed many university-specific exams (like DU JAT, BHU UET). Primary gateway for central universities."
CLAT (Common Law Admission Test),CAT_05,National,All India,Admission,Consortium of National Law Universities,Class 12,consortiumofnlus.ac.in,Active,Standardized test for 24 National Law Universities (NLUs) offering 5-year integrated BA/BBA LLB.
AILET (All India Law Entrance Test),CAT_05,National,All India,Admission,"National Law University (NLU), Delhi",Class 12,nationallawuniversitydelhi.in,Active,NLU Delhi conducts its own independent exam outside the CLAT consortium.
NIFT Entrance Exam,CAT_05,National,All India,Admission,NTA / National Institute of Fashion Technology,Class 12,exams.nta.ac.in/NIFT/,Active,Centralized exam for B.Des and B.FTech admissions across all NIFT campuses in India.
UCEED (Undergraduate Common Entrance Exam for Design),CAT_05,National,All India,Admission,IIT Bombay,Class 12,uceed.iitb.ac.in,Active,"Gateway to B.Des programs at IIT Bombay, IIT Delhi, IIT Guwahati, IIT Hyderabad, and IIITDM Jabalpur."
NID DAT (Design Aptitude Test),CAT_05,National,All India,Admission,National Institute of Design (NID),Class 12,admissions.nid.edu,Active,Two-stage exam (Prelims and Mains/Studio Test) for B.Des admission across NID campuses.
NCHM JEE (Joint Entrance Examination),CAT_05,National,All India,Admission,NTA / NCHMCT,Class 12,exams.nta.ac.in/NCHM/,Active,Sole official gateway for B.Sc in Hospitality and Hotel Administration across top IHMs.
JIPMAT (Joint Integrated Programme in Management Admission Test),CAT_05,National,All India,Admission,NTA,Class 12,exams.nta.ac.in/JIPMAT/,Active,Joint entrance for the 5-Year Integrated Program in Management (IPM) at IIM Bodh Gaya and IIM Jammu.
FDDI AIST (All India Selection Test),CAT_05,National,All India,Admission,Footwear Design & Development Institute (FDDI),Class 12,fddiindia.com,Active,"National-level entrance for B.Des (Footwear, Fashion, Leather) under the Ministry of Commerce."
LSAT—India (Law School Admission Test),CAT_05,National,All India,Admission,Law School Admission Council (LSAC),Class 12,lsatindia.in,Active,"Standardized test widely accepted by major recognized private law universities (e.g., Jindal Global Law School)."
