Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
JEE Main (Joint Entrance Examination - Main),CAT_03,National,All India,Admission,National Testing Agency (NTA),Class 12,jeemain.nta.ac.in,Active,"Gateway for NITs, IIITs, GFTIs. Paper 1 (B.Tech), Paper 2A (B.Arch), Paper 2B (B.Plan)."
JEE Advanced,CAT_03,National,All India,Admission,IITs (under JAB),Class 12,jeeadv.ac.in,Active,Top 2.5 lakh JEE Main qualifiers are eligible. Mandatory for IIT engineering admissions.
NATA (National Aptitude Test in Architecture),CAT_03,National,All India,Admission,Council of Architecture (CoA),Class 12 / Diploma,nata.in,Active,Standardized architecture aptitude test recognized by almost all state/private universities for B.Arch.
AAT (Architecture Aptitude Test),CAT_03,National,All India,Admission,IITs (under JAB),Class 12,jeeadv.ac.in,Active,"Exclusive to JEE Advanced qualifiers seeking B.Arch admission in IIT Kharagpur, Roorkee, and BHU."
CUET UG (Common University Entrance Test),CAT_03,National,All India,Admission,National Testing Agency (NTA),Class 12,exams.nta.ac.in/CUET-UG/,Active,"Accepted by many Central Universities (like Delhi University, BHU) for B.Tech programs."
"AP EAPCET (Engineering, Agriculture & Pharmacy)",CAT_03,State-UT,Andhra Pradesh,Admission,JNTU Anantapur (for APSCHE),Class 12,cets.apsche.ap.gov.in,Active,Formerly AP EAMCET. Mandatory for state quota seats in AP engineering colleges.
"TS EAPCET (Engineering, Agriculture & Pharmacy)",CAT_03,State-UT,Telangana,Admission,JNTU Hyderabad (for TSCHE),Class 12,eapcet.tsche.ac.in,Active,Formerly TS EAMCET. Mandatory for state quota seats in Telangana engineering colleges.
MHT CET (Maharashtra Common Entrance Test),CAT_03,State-UT,Maharashtra,Admission,"State CET Cell, Maharashtra",Class 12,cetcell.mahacet.org,Active,One of the largest state engineering exams; tests state board syllabus.
KCET (Karnataka Common Entrance Test),CAT_03,State-UT,Karnataka,Admission,Karnataka Examinations Authority (KEA),Class 12,cetonline.karnataka.gov.in/kea/,Active,For domicile students seeking government quota engineering seats in Karnataka.
COMEDK UGET,CAT_03,State-UT,Karnataka,Admission,"Consortium of Medical, Engg & Dental Colleges of Karnataka",Class 12,comedk.org,Active,Pan-India open exam for private engineering colleges in Karnataka. Officially recognized gateway.
WBJEE (West Bengal Joint Entrance Examination),CAT_03,State-UT,West Bengal,Admission,WBJEEB,Class 12,wbjeeb.nic.in,Active,Gateway for Jadavpur University and other state/private colleges in West Bengal.
KEAM (Kerala Engineering Architecture Medical),CAT_03,State-UT,Kerala,Admission,"Commissioner for Entrance Examinations (CEE), Kerala",Class 12,cee.kerala.gov.in,Active,Engineering ranks are based on a 50:50 weightage of KEAM score and Class 12 PCM marks.
GUJCET (Gujarat Common Entrance Test),CAT_03,State-UT,Gujarat,Admission,Gujarat Secondary and Higher Secondary Education Board,Class 12,gseb.org,Active,40% weightage to GUJCET and 60% to Class 12 board percentile for state counseling.
Assam CEE (Combined Entrance Examination),CAT_03,State-UT,Assam,Admission,Assam Science and Technology University (ASTU),Class 12,astu.ac.in,Active,Standard entry for state government engineering colleges in Assam.
BCECE (Bihar Combined Entrance Competitive Exam),CAT_03,State-UT,Bihar,Admission,BCECE Board,Class 12,bceceboard.bihar.gov.in,Active,"While UGEAC (JEE Main based) fills most seats, BCECE is conducted for remaining/specific quotas."
CG PET (Chhattisgarh Pre Engineering Test),CAT_03,State-UT,Chhattisgarh,Admission,CG Vyapam (CPEB),Class 12,vyapam.cgstate.gov.in,Active,State-level entrance for B.Tech programs in Chhattisgarh.
OJEE (Odisha Joint Entrance Examination),CAT_03,State-UT,Odisha,Admission,"OJEE Cell, Govt of Odisha",Class 12 / Diploma,ojee.nic.in,Active,"Primary B.Tech relies on JEE Main, but OJEE conducts exams for Lateral Entry and special B.Tech vacancies."
HPCET (Himachal Pradesh Common Entrance Test),CAT_03,State-UT,Himachal Pradesh,Admission,Himachal Pradesh Technical University (HPTU),Class 12,himtu.ac.in,Active,Conducted for state quota seats not filled by JEE Main scores.
JKCET (J&K Common Entrance Test),CAT_03,State-UT,Jammu & Kashmir,Admission,J&K Board of Professional Entrance Examinations (BOPEE),Class 12,jkbopee.gov.in,Active,Main engineering entrance for UT institutions.
TBJEE (Tripura Joint Entrance Examination),CAT_03,State-UT,Tripura,Admission,Tripura Board of Joint Entrance Examination,Class 12,tbjee.nic.in,Active,"Conducted in three groups (PCM, PCB, PCMB) for engineering and allied degrees."
NERIST NEE,CAT_03,State-UT,Arunachal Pradesh,Admission,North Eastern Regional Institute of Science & Technology,Class 12 / Diploma,nerist.ac.in,Active,Regional entrance; NEE-II is for B.Tech entry and NEE-III for lateral B.Tech entry.
MZUEEE,CAT_03,State-UT,Mizoram,Admission,Mizoram University,Class 12,mzu.edu.in,Active,University-administered state-level exam for local engineering admissions.
GCET (Goa Common Entrance Test),CAT_03,State-UT,Goa,Admission,"Directorate of Technical Education, Goa",Class 12,dte.goa.gov.in,Discontinued,Scrapped in 2024. Goa now officially uses JEE Main for B.Tech admissions.
UPSEE / UPCET,CAT_03,State-UT,Uttar Pradesh,Admission,Dr. A.P.J. Abdul Kalam Technical University (AKTU),Class 12,upcet.admissions.nic.in,Discontinued,Scrapped for B.Tech. State now uses JEE Main via UPTAC counseling.
MP PET,CAT_03,State-UT,Madhya Pradesh,Admission,MP Employees Selection Board (ESB),Class 12,esb.mp.gov.in,Discontinued,Scrapped. Madhya Pradesh now allocates B.Tech seats purely via JEE Main ranks.
RPET,CAT_03,State-UT,Rajasthan,Admission,Board of Technical Education Rajasthan,Class 12,hte.rajasthan.gov.in,Discontinued,Scrapped. Replaced by REAP centralized counseling using JEE Main / Class 12 marks.
BITSAT,CAT_03,Institute,All India,Admission,BITS Pilani,Class 12,[suspicious link removed],Active,Highly competitive. Requires minimum 75% aggregate in PCM in Class 12.
VITEEE,CAT_03,Institute,All India,Admission,Vellore Institute of Technology (VIT),Class 12,viteee.vit.ac.in,Active,"For admission to VIT campuses across Vellore, Chennai, Bhopal, and Amaravati."
SRMJEEE,CAT_03,Institute,All India,Admission,SRM Institute of Science and Technology,Class 12,srmist.edu.in,Active,Conducted in multiple phases online.
MET (Manipal Entrance Test),CAT_03,Institute,All India,Admission,Manipal Academy of Higher Education (MAHE),Class 12,manipal.edu,Active,For engineering admissions across Manipal campuses.
KIITEE,CAT_03,Institute,All India,Admission,Kalinga Institute of Industrial Technology,Class 12,kiitee.kiit.ac.in,Active,Known for having no application/examination fee for candidates.
AEEE (Amrita Entrance Exam Engineering),CAT_03,Institute,All India,Admission,Amrita Vishwa Vidyapeetham,Class 12,amrita.edu,Active,"Also accepts JEE Main, allocating 30% of seats to JEE rankers."
CUSAT CAT,CAT_03,Institute,All India,Admission,Cochin University of Science and Technology,Class 12,admissions.cusat.ac.in,Active,Prominent university-level test in Kerala heavily attempted by engineering aspirants.
SITEEE,CAT_03,Institute,All India,Admission,Symbiosis International (Deemed University),Class 12,set-test.org,Active,Specifically for B.Tech admissions at Symbiosis Institute of Technology.
AMUEEE,CAT_03,Institute,All India,Admission,Aligarh Muslim University (AMU),Class 12,[suspicious link removed],Active,Standalone entrance for AMU's Zakir Husain College of Engineering.
IPU CET,CAT_03,Institute,Delhi,Admission,Guru Gobind Singh Indraprastha University (GGSIPU),Class 12 / Diploma,ipu.ac.in,Active,Regular B.Tech uses JEE Main; IPU CET is still conducted for B.Tech (Bio-Technology) and Lateral Entry.
