Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
UPSC NDA (National Defence Academy),CAT_10,National,All India,Recruitment,UPSC,Class 12,upsconline.nic.in,Active,"Gateway for Army, Navy, and Air Force wings (Male & Female)."
UPSC CDS (Combined Defence Services),CAT_10,National,All India,Recruitment,UPSC,UG,upsconline.nic.in,Active,"For IMA, INA, AFA, and Officers Training Academy (OTA)."
UPSC CAPF (Assistant Commandant),CAT_10,National,All India,Recruitment,UPSC,UG,upsconline.nic.in,Active,"Recruits Assistant Commandants for BSF, CRPF, CISF, ITBP, and SSB."
AFCAT (Air Force Common Admission Test),CAT_10,National,All India,Recruitment,Indian Air Force (C-DAC),UG,afcat.cdac.in,Active,"For Flying, Technical, and Ground Duty Branches."
INET (Indian Navy Entrance Test),CAT_10,National,All India,Recruitment,Indian Navy,UG,joinindiannavy.gov.in,Active,Standardized entry for Indian Navy officer cadres.
Indian Coast Guard (CGEPT),CAT_10,National,All India,Recruitment,Indian Coast Guard,Class 10/12/Diploma,joinindiancoastguard.cdac.in,Active,Recruits Navik (General Duty/Domestic Branch) and Yantrik.
Indian Army Agniveer CEE,CAT_10,National,All India,Recruitment,Indian Army,Class 10/12,joinindianarmy.nic.in,Active,Standardized online Common Entrance Exam (CEE) for the 4-year Agniveer scheme.
Indian Navy Agniveer (SSR/MR),CAT_10,National,All India,Recruitment,Indian Navy,Class 10/12,joinindiannavy.gov.in,Active,Recruits Senior Secondary Recruits (SSR) and Matric Recruits (MR).
IAF Agniveer Vayu,CAT_10,National,All India,Recruitment,Indian Air Force,Class 10/12,agnipathvayu.cdac.in,Active,Air Force recruitment under the Agnipath scheme.
SSC GD Constable,CAT_10,National,All India,Recruitment,Staff Selection Commission (SSC),Class 10,ssc.gov.in,Active,"Massive recruitment for Constables in CAPFs, SSF, and Rifleman in Assam Rifles."
SSC CPO (Central Police Organization),CAT_10,National,All India,Recruitment,SSC,UG,ssc.gov.in,Active,Recruits Sub-Inspectors (SI) for Delhi Police and CAPFs.
