Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
UPSC Civil Services Examination (CSE),CAT_08,National,All India,Recruitment,Union Public Service Commission (UPSC),UG,upsconline.gov.in,Active,"Directs to IAS, IPS, IFS, and Group A/B Central Services. Note: Recruitment for 7 UTs (Delhi, A&N Islands, Lakshadweep, Daman & Diu, D&NH, Chandigarh, and Puducherry) is administered through this exam via the AGMUT cadre or DANICS/DANIPS/PCS."
UPSC Indian Forest Service (IFoS) Exam,CAT_08,National,All India,Recruitment,UPSC,UG,upsconline.gov.in,Active,Prelims stage is combined with UPSC CSE; Mains requires a science or engineering background.
APPSC Group 1 Services,CAT_08,State-UT,Andhra Pradesh,Recruitment,Andhra Pradesh Public Service Commission,UG,[suspicious link removed],Active,Top-tier state administrative services exam.
APPSCCE (Combined Competitive Exam),CAT_08,State-UT,Arunachal Pradesh,Recruitment,Arunachal Pradesh PSC,UG,appsc.gov.in,Active,Standard gateway for state civil services and police.
APSC Combined Competitive Examination (CCE),CAT_08,State-UT,Assam,Recruitment,Assam Public Service Commission,UG,apsc.nic.in,Active,"Selects candidates for ACS, APS, and allied services."
BPSC Combined Competitive Exam (CCE),CAT_08,State-UT,Bihar,Recruitment,Bihar Public Service Commission,UG,bpsc.bih.nic.in,Active,One of the highest-volume state civil service exams.
CGPSC State Service Exam (SSE),CAT_08,State-UT,Chhattisgarh,Recruitment,Chhattisgarh Public Service Commission,UG,psc.cg.gov.in,Active,Conducted annually for State Civil Service (Deputy Collector) and DSP posts.
Goa Civil Service (Direct Recruitment),CAT_08,State-UT,Goa,Recruitment,Goa Public Service Commission,UG,gpsc.goa.gov.in,Active,"Goa does not use a ""CCE"" model but conducts direct competitive tests for Goa Civil Service."
GPSC Class 1 & 2 (Administrative Service),CAT_08,State-UT,Gujarat,Recruitment,Gujarat Public Service Commission,UG,gpsc.gujarat.gov.in,Active,Official exam for GAS and GPS cadres.
HPSC HCS (Ex. Br.) & Allied Services,CAT_08,State-UT,Haryana,Recruitment,Haryana Public Service Commission,UG,hpsc.gov.in,Active,Gateway for Haryana Civil Service (Executive Branch).
HPPSC HPAS (Administrative Service),CAT_08,State-UT,Himachal Pradesh,Recruitment,Himachal Pradesh PSC,UG,hppsc.hp.gov.in,Active,Mandatory for entry into the state administrative ecosystem.
JPSC Combined Civil Services Exam,CAT_08,State-UT,Jharkhand,Recruitment,Jharkhand Public Service Commission,UG,jpsc.gov.in,Active,Standardized three-stage examination.
KPSC KAS (Gazetted Probationers Exam),CAT_08,State-UT,Karnataka,Recruitment,Karnataka Public Service Commission,UG,kpsc.kar.nic.in,Active,Official test for Karnataka Administrative Service.
Kerala Administrative Service (KAS),CAT_08,State-UT,Kerala,Recruitment,Kerala Public Service Commission,UG,keralapsc.gov.in,Active,Designed to groom state administrative leadership.
MPPSC State Service Exam (SSE),CAT_08,State-UT,Madhya Pradesh,Recruitment,Madhya Pradesh Public Service Commission,UG,mppsc.mp.gov.in,Active,Extremely popular exam tailored for the MP state apparatus.
MPSC Rajyaseva (State Services Exam),CAT_08,State-UT,Maharashtra,Recruitment,Maharashtra Public Service Commission,UG,mpsc.gov.in,Active,"Selects candidates for Deputy Collector, DSP, and Tahsildar."
MPSC Combined Competitive Exam (MCSCCE),CAT_08,State-UT,Manipur,Recruitment,Manipur Public Service Commission,UG,mpscmanipur.gov.in,Active,"For Manipur Civil Services, Police Services, and SDC."
MPSC Meghalaya Civil Service Exam,CAT_08,State-UT,Meghalaya,Recruitment,Meghalaya Public Service Commission,UG,mpsc.nic.in,Active,Custom curriculum geared around state policies and tribal history.
Mizoram Civil Services (Combined Competitive),CAT_08,State-UT,Mizoram,Recruitment,Mizoram Public Service Commission,UG,mpsc.mizoram.gov.in,Active,Dedicated entirely to the state-level civil and police administration.
"NPSC NCS, NPS, NSS & Allied Services",CAT_08,State-UT,Nagaland,Recruitment,Nagaland Public Service Commission,UG,npsc.nagaland.gov.in,Active,"Single test covering Nagaland Civil, Police, and Secretariat services."
OPSC Odisha Civil Services (OCS),CAT_08,State-UT,Odisha,Recruitment,Odisha Public Service Commission,UG,opsc.gov.in,Active,Known for distinct regional language and general studies qualifiers.
PPSC Punjab State Civil Services (PSCSCCE),CAT_08,State-UT,Punjab,Recruitment,Punjab Public Service Commission,UG,ppsc.gov.in,Active,Gateway for Punjab Civil Service (Executive Branch).
RPSC RAS (Rajasthan Administrative Service),CAT_08,State-UT,Rajasthan,Recruitment,Rajasthan Public Service Commission,UG,rpsc.rajasthan.gov.in,Active,One of the most highly attempted regional PSC exams in North India.
SPSC Sikkim State Civil Service,CAT_08,State-UT,Sikkim,Recruitment,Sikkim Public Service Commission,UG,spsc.sikkim.gov.in,Active,State test with a deep emphasis on local governance.
TNPSC Group 1 Services,CAT_08,State-UT,Tamil Nadu,Recruitment,Tamil Nadu Public Service Commission,UG,tnpsc.gov.in,Active,"Features heavy syllabus representation of Tamil culture, history, and literature."
